
===== Modelo Históricos CP FICV.docx =====

--- Tabela 1 ---
Disciplina | Docente Responsável | Titulação/Instituição | C.H | Média Final
Cosmovisão Cristã e Política | Dr. Bruno Nascimento | Doutorado em Filosofia (UFRN). Mestre em Comunicação e Culturas Midiáticas (UFPB). | 40h | 
Ética Cristã | Esp. Edmilson Almeida | Especialista em Estado Constitucional e Liberdade Religiosa pela Universidade Presbiteriana Mackenzie. | 40h | 
História do Pensamento Político | Me. Carlos Kleber | Mestrado em História pela UFPB, Especialista em Ciência Política pela Estácio de Sá, Especialista em Teologia Reformada pelo Instituto Reformado de São Paulo. | 40h | 
Ideologias Políticas | Dr. David Koyzis | Doutorado em Governo e Estudos Internacionais pela University of Notre Dame. | 40h | 
Teoria Política Reformacional | Dr. Anderson Paz | Doutorado em Filosofia pela UFCE. Doutorado em Ciência Política pela UFPE. Mestrado em Filosofia pela UFPB e Mestre em Ciência Política e Relações Internacionais pela UFPB. | 40h | 
Política e Ordem Jurídica | Me. Hertz Pires | Mestrado em Ciência Política pela UFCG. Bacharelado em Teologia pelo Instituto Teológico Superior de Missões - ITESMI. | 40h | 
Cidadania e Ação Cívica | Me. Pedro Nascimento | Mestrado em Ciência Política (UFCG) e bacharel em Ciências Sociais (UFCG). | 40h | 
O Cristão na Participação Cidadã | Dr. Sérgio Queiroz | Pós-Doutorado em Direito na Universidade de Salamanca/Espanha, Doutorado em Teologia pela Trinity International e Especialista em Liderança pelo Instituto Haggai. | 40h | 
O Cristão na Prática Política | Me. Deltan Dallagnol | Mestrado em Direito pela Harvard Law School. | 40h | 
O Cristão e a Liberdade Religiosa | Esp. Rafael Durand | Especialista em Direito Público. Graduado em Direito pelo Centro de Ciências Jurídicas da Universidade Estadual da Paraíba (CCJ/UEPB). | 40h | 

===== Modelo Históricos MIS FICV.docx =====

--- Tabela 1 ---
Disciplina | Docente Responsável | Titulação/Instituição | C.H | Média Final
Teologia e Prática da Espiritualidade | Dr. Valdir Steuernagel | Mestrado e PhD da Lutheran School of Theology em Chicago/USA. | 30h | 9,0
Teologia da Missão Urbana | Dr. Sérgio Lyra/Dr. Mac Pier | Doutorado em Ministérios pelo Reformed Thological Seminary, Mestrado em Missiologia pelo Centro de Pós-Graduação Andrew Jumper - Mackenzie (SP). | 30h | 8,5
Contextualização do Evangelho e da Cultura | Esp. Pedro Lione | Bacharelado em Teologia pela Universidade Metodista/SP. Pós-graduado em Plantação e Revitalização de igrejas pela Faculdade de Teologia Evangélica de Curitiba. | 30h | 9,5
Missão Integral | Dr Chris Wright/Miss. Leandro Silva | Diretor internacional do Langham Partnership International/ Graduado em Teologia pela Faculdade Teológica Sul-Americana e Graduado em Liderança Avançada pelo Haggai Institute. | 30h | 10
Etnografia dos Grupos Urbanos | Esp. Renildo Diniz | Pós-graduado em Teologia e Interpretação Bíblica pela Faculdade Batista do Paraná, Graduado em Teologia pelo Seminário e Instituto Batista Bereano e em Ciências Sociais pela UFRN. | 30h | 10
Eclesiologia Missional | Ms. Valtenci Oliveira | Mestrado em Ciências Sociais pela UFRN, Mestrado em Ciências da Religião (SINTEP/EPOE), Especialista em Teologia Sistemática e Pastoral (FABAT) e em Teologia do Antigo e Novo Testamento. | 30h | 9,0
Fé, Política e Cidadania | Ms. Davi Lago | Doutorado em Filosofia do Direito pela USP. Mestrado em Filosofia e Teoria do Direito (2013) e Graduado em Direito (2009) pela PUC/MG. | 30h | 10
Justiça, Pobreza e Transformação | Dr N. T. Wright/Ms. Bebeto Araújo | Doutorado em Divindade pela Universidade de Oxford/ Formação em Missiologia e Graduado em Engenharia Florestal. | 30h | 10
Igreja e Meio-Ambiente | Esp. José Marcos da Silva | Bacharelado em Teologia pelo STBN, em Psicologia pela UFPE e Pós-graduado em Ciências Políticas pela PUC/Rio. | 30h | 9,5
Liderança Missional Urbana | Dr. Sérgio Queiroz | Pós-doutorado em Direito na Universidade de Salamanca/Espanha, Doutorado em Teologia pela Trinity International e Especialista em Liderança pelo Instituto Haggai. | 30h | 9,5
Captação de Recursos para Projetos Sociais | Ms Rafael Bandeira | Mestrado em Políticas Públicas pela UMC, MBA em Gestão Financeira pela FAMEESP, Especialista em Gestão de Projetos Sociais pela FLAM. | 30h | 8,5
Elaboração de Projetos Missionais Urbanos | Esp. Lisania Pereira | Bacharelado em Administração, com Pós-graduação em Gestão Estratégica de Marketing. | 30h | 9,0

--- Tabela 2 ---
Disciplina | Docente Responsável | Titulação/Instituição | C.H | Média Final
Teologia e Prática da Espiritualidade | Dr. Valdir Steuernagel | Mestrado e PhD da Lutheran School of Theology em Chicago/USA. | 30h | 10
Teologia da Missão Urbana | Dr. Sérgio Lyra/Dr. Mac Pier | Doutorado em Ministérios pelo Reformed Thological Seminary, Mestrado em Missiologia pelo Centro de Pós-Graduação Andrew Jumper - Mackenzie (SP). | 30h | 7,5
Contextualização do Evangelho e da Cultura | Esp. Pedro Lione | Bacharelado em Teologia pela Universidade Metodista/SP. Pós-graduado em Plantação e Revitalização de igrejas pela Faculdade de Teologia Evangélica de Curitiba. | 30h | 10
Missão Integral | Dr Chris Wright/Miss. Leandro Silva | Diretor internacional do Langham Partnership International/ Graduado em Teologia pela Faculdade Teológica Sul-Americana e Graduado em Liderança Avançada pelo Haggai Institute. | 30h | 10
Etnografia dos Grupos Urbanos | Esp. Renildo Diniz | Pós-graduado em Teologia e Interpretação Bíblica pela Faculdade Batista do Paraná, Graduado em Teologia pelo Seminário e Instituto Batista Bereano e em Ciências Sociais pela UFRN. | 30h | 10
Eclesiologia Missional | Ms. Valtenci Oliveira | Mestrado em Ciências Sociais pela UFRN, Mestrado em Ciências da Religião (SINTEP/EPOE), Especialista em Teologia Sistemática e Pastoral (FABAT) e em Teologia do Antigo e Novo Testamento. | 30h | 9,0
Fé, Política e Cidadania | Ms. Davi Lago | Doutorado em Filosofia do Direito pela USP. Mestrado em Filosofia e Teoria do Direito (2013) e Graduado em Direito (2009) pela PUC/MG. | 30h | 9,5
Justiça, Pobreza e Transformação | Dr N. T. Wright/Ms. Bebeto Araújo | Doutorado em Divindade pela Universidade de Oxford/ Formação em Missiologia e Graduado em Engenharia Florestal. | 30h | 10
Igreja e Meio-Ambiente | Esp. José Marcos da Silva | Bacharelado em Teologia pelo STBN, em Psicologia pela UFPE e Pós-graduado em Ciências Políticas pela PUC/Rio. | 30h | 9,5
Liderança Missional Urbana | Dr. Sérgio Queiroz | Pós-doutorado em Direito na Universidade de Salamanca/Espanha, Doutorado em Teologia pela Trinity International e Especialista em Liderança pelo Instituto Haggai. | 30h | 8,5
Captação de Recursos para Projetos Sociais | Ms Rafael Bandeira | Mestrado em Políticas Públicas pela UMC, MBA em Gestão Financeira pela FAMEESP, Especialista em Gestão de Projetos Sociais pela FLAM. | 30h | 9,5
Elaboração de Projetos Missionais Urbanos | Esp. Lisania Pereira | Bacharelado em Administração, com Pós-graduação em Gestão Estratégica de Marketing. | 30h | 9,2

--- Tabela 3 ---
Disciplina | Docente Responsável | Titulação/Instituição | C.H | Média Final
Teologia e Prática da Espiritualidade | Dr. Valdir Steuernagel | Mestrado e PhD da Lutheran School of Theology em Chicago/USA. | 30h | 10
Teologia da Missão Urbana | Dr. Sérgio Lyra/Dr. Mac Pier | Doutorado em Ministérios pelo Reformed Thological Seminary, Mestrado em Missiologia pelo Centro de Pós-Graduação Andrew Jumper - Mackenzie (SP). | 30h | 8,0
Contextualização do Evangelho e da Cultura | Esp. Pedro Lione | Bacharelado em Teologia pela Universidade Metodista/SP. Pós-graduado em Plantação e Revitalização de igrejas pela Faculdade de Teologia Evangélica de Curitiba. | 30h | 9,5
Missão Integral | Dr Chris Wright/Miss. Leandro Silva | Diretor internacional do Langham Partnership International/ Graduado em Teologia pela Faculdade Teológica Sul-Americana e Graduado em Liderança Avançada pelo Haggai Institute. | 30h | 10
Etnografia dos Grupos Urbanos | Esp. Renildo Diniz | Pós-graduado em Teologia e Interpretação Bíblica pela Faculdade Batista do Paraná, Graduado em Teologia pelo Seminário e Instituto Batista Bereano e em Ciências Sociais pela UFRN. | 30h | 9,5
Eclesiologia Missional | Ms. Valtenci Oliveira | Mestrado em Ciências Sociais pela UFRN, Mestrado em Ciências da Religião (SINTEP/EPOE), Especialista em Teologia Sistemática e Pastoral (FABAT) e em Teologia do Antigo e Novo Testamento. | 30h | 9,0
Fé, Política e Cidadania | Ms. Davi Lago | Doutorado em Filosofia do Direito pela USP. Mestrado em Filosofia e Teoria do Direito (2013) e Graduado em Direito (2009) pela PUC/MG. | 30h | 10
Justiça, Pobreza e Transformação | Dr N. T. Wright/Ms. Bebeto Araújo | Doutorado em Divindade pela Universidade de Oxford/ Formação em Missiologia e Graduado em Engenharia Florestal. | 30h | 10
Igreja e Meio-Ambiente | Esp. José Marcos da Silva | Bacharelado em Teologia pelo STBN, em Psicologia pela UFPE e Pós-graduado em Ciências Políticas pela PUC/Rio. | 30h | 9,5
Liderança Missional Urbana | Dr. Sérgio Queiroz | Pós-doutorado em Direito na Universidade de Salamanca/Espanha, Doutorado em Teologia pela Trinity International e Especialista em Liderança pelo Instituto Haggai. | 30h | 10
Captação de Recursos para Projetos Sociais | Ms Rafael Bandeira | Mestrado em Políticas Públicas pela UMC, MBA em Gestão Financeira pela FAMEESP, Especialista em Gestão de Projetos Sociais pela FLAM. | 30h | 8,5
Elaboração de Projetos Missionais Urbanos | Esp. Lisania Pereira | Bacharelado em Administração, com Pós-graduação em Gestão Estratégica de Marketing. | 30h | 8,0

--- Tabela 4 ---
Disciplina | Docente Responsável | Titulação/Instituição | C.H | Média Final
Teologia e Prática da Espiritualidade | Dr. Valdir Steuernagel | Mestrado e PhD da Lutheran School of Theology em Chicago/USA. | 30h | 10
Teologia da Missão Urbana | Dr. Sérgio Lyra/Dr. Mac Pier | Doutorado em Ministérios pelo Reformed Thological Seminary, Mestrado em Missiologia pelo Centro de Pós-Graduação Andrew Jumper - Mackenzie (SP). | 30h | 8,5
Contextualização do Evangelho e da Cultura | Esp. Pedro Lione | Bacharelado em Teologia pela Universidade Metodista/SP. Pós-graduado em Plantação e Revitalização de igrejas pela Faculdade de Teologia Evangélica de Curitiba. | 30h | 10
Missão Integral | Dr Chris Wright/Miss. Leandro Silva | Diretor internacional do Langham Partnership International/ Graduado em Teologia pela Faculdade Teológica Sul-Americana e Graduado em Liderança Avançada pelo Haggai Institute. | 30h | 9,5
Etnografia dos Grupos Urbanos | Esp. Renildo Diniz | Pós-graduado em Teologia e Interpretação Bíblica pela Faculdade Batista do Paraná, Graduado em Teologia pelo Seminário e Instituto Batista Bereano e em Ciências Sociais pela UFRN. | 30h | 9,0
Eclesiologia Missional | Ms. Valtenci Oliveira | Mestrado em Ciências Sociais pela UFRN, Mestrado em Ciências da Religião (SINTEP/EPOE), Especialista em Teologia Sistemática e Pastoral (FABAT) e em Teologia do Antigo e Novo Testamento. | 30h | 8,0
Fé, Política e Cidadania | Ms. Davi Lago | Doutorado em Filosofia do Direito pela USP. Mestrado em Filosofia e Teoria do Direito (2013) e Graduado em Direito (2009) pela PUC/MG. | 30h | 9,0
Justiça, Pobreza e Transformação | Dr N. T. Wright/Ms. Bebeto Araújo | Doutorado em Divindade pela Universidade de Oxford/ Formação em Missiologia e Graduado em Engenharia Florestal. | 30h | 10
Igreja e Meio-Ambiente | Esp. José Marcos da Silva | Bacharelado em Teologia pelo STBN, em Psicologia pela UFPE e Pós-graduado em Ciências Políticas pela PUC/Rio. | 30h | 10
Liderança Missional Urbana | Dr. Sérgio Queiroz | Pós-doutorado em Direito na Universidade de Salamanca/Espanha, Doutorado em Teologia pela Trinity International e Especialista em Liderança pelo Instituto Haggai. | 30h | 8,5
Captação de Recursos para Projetos Sociais | Ms Rafael Bandeira | Mestrado em Políticas Públicas pela UMC, MBA em Gestão Financeira pela FAMEESP, Especialista em Gestão de Projetos Sociais pela FLAM. | 30h | 8,5
Elaboração de Projetos Missionais Urbanos | Esp. Lisania Pereira | Bacharelado em Administração, com Pós-graduação em Gestão Estratégica de Marketing. | 30h | 7,7

--- Tabela 5 ---
Disciplina | Docente Responsável | Titulação/Instituição | C.H | Média Final
